[UNK]
light
lift
lest
lesser
leaves
least
leads
leaden
ladyship
labour
la
knowledge
knee
knaves
kindle
joves
its
int
instruments
ingratitude
ingrateful
infect
incensed
impediment
ignorant
idle
husband
hurt
hunt
hunger
humility
humble
hours
host
horse
honourd
honourable
highest
hide
herd
herald
heels
hector
heaven
heartily
hatred
hated
hangmen
hail
guess
guard
grows
ground
greece
giving
gives
gentry
geese
garments
gain
free
found
fors
forehead
force
forbid
fool
flatterers
flat
fierce
fellows
fell
feel
fears
fashion
far
famish
fabric
eye
especially
equal
encounter
emulation
elders
east
dust
drum
drop
dozen
doors
donet
disposition
dismiss
discover
direct
digest
devour
devise
destruction
desert
declines
dearer
daughter
dare
danger
daily
cut
cushions
cure
crush
cruel
cowardly
course
countrys
counsels
controversy
consider
confess
company
clubs
clean
chosen
choose
children
charge
chance
censured
carries
cares
canon
camp
c
bury
brows
brow
briefly
breaths
breast
brain
boy
blush
blows
bisson
bid
bestow
besides
bench
bellys
believe
behold
beggd
becomes
because
beards
beard
bats
base
bands
bald
awhile
authorities
aught
assembly
aside
appetite
antiates
anon
amongst
air
aid
aged
affections
advanced
advance
addition
actions
accused
abundance
absolute
absence
youngly
young
yond
yoke
yielded
yarn
wrought
writes
write
wrench
wow
worthiness
worthily
worst
worshipful
worship
worn
works
woolvish
wood
wont
wonder
womb
woman
wolf
wives
withdraw
withal
wishes
wise
wisdoms
wiping
windows
willtis
willingly
willing
widows
widens
whoever
whither
white
whip
whilst
whiles
wheres
wherefore
whereby
wheel
whatsoever
wert
wellfound
welcomes
weigh
weepst
weep
weed
wednesday
wedged
weary
wears
wealsmen
ways
waxed
waving
waved
waters
water
watchd
wast
washd
warmd
warm
wanton
wanting
wall
walk
wagging
wager
vows
vouches
vouchd
vouch
voluptuously
visage
virtuous
virtues
viperous
viper
vilely
vile
vigilant
victory
vice
viand
vesture
vessel
verily
verdict
vented
velutus
veins
vaward
variable
vanquisher
valours
vail
utterd
utter
utmost
usury
usurers
ushers
unworthy
unwise
unswept
unstable
unscannd
unroofd
unreasonably
unnatural
unmeriting
unlike
unknown
ungravely
unelected
undo
understood
undercrest
unbuild
unborn
unactive
unaching
ulysses
tying
twos
twill
twentyseven
twentyfive
tutus
tune
trusts
trumpeter
trumpet
truebred
trophy
troop
trivial
triumph
triton
trim
tried
trident
tricks
trial
tremble
treasure
treason
treads
tread
transported
transport
translate
traitors
traitorous
traducement
towns
touching
tother
topping
top
token
toge
title
tired
tire
tinderlike
timepleasers
timed
tigerfooted
tickled
thunderlike
thrown
throngs
throng
thrives
thrice
threw
threshold
threes
threatening
thread
thousands
thouldst
thoughts
thoroughly
thirst
thinking
thightheres
thief
theyve
themes
theme
theft
thankful
testy
terror
terrible
tenth
tenderbodied
ten
temperately
tells
tear
teaches
taunts
tauntingly
tatter
taste
taskd
tarquins
tapers
talking
taket
takes
taken
tag
tabour
table
syllables
swims
swiftness
swifter
sweat
sweartis
swear
survey
surplus
surly
surfeits
surfeit
surety
surer
supreme
support
suppliants
supple
summond
summon
suitors
suggested
suggest
suffrage
suffert
sufferd
suedfor
suckle
subtle
subjects
subdues
stuff
stuck
stubble
strongly
strongest
strokes
stride
stretch
strength
stream
storehouses
store
stoppd
stop
stone
stock
stitchery
stinking
stillbut
sticks
stem
steel
stayed
staves
statutes
statue
station
states
starve
standst
stalls
stale
stain
spur
spun
springs
spread
sprang
spot
sport
spoons
spoken
spoils
spit
spire
spies
speedy
spectacled
speakt
speakit
spawn
spake
sowd
sovereign
southward
sounds
soundly
sought
sort
soothed
solicit
solemness
softconscienced
soaring
smotherd
smoking
smiling
smiles
smeard
smart
smallof
small
slip
slily
slightness
slew
slander
slain
skull
sixth
sixteen
six
sithence
sirtwas
sirs
sirplague
sinking
sink
singularity
singly
sing
sincerely
silver
silk
silenced
sign
sights
sighd
sides
shunning
shunnd
shunless
shrug
shreds
shows
shower
shouting
shout
shouldst
shoulder
shortend
short
shop
shoes
shield
shepherd
sheepwill
shapes
shames
shamed
shame
sham
shalt
shadow
sewing
severity
several
seventh
seventeen
sets
serves
serpent
sensibly
sensible
senseless
sense
senates
selves
self
select
seldshown
seest
seemd
seeks
seeking
sedition
seats
seat
sea
scratch
scourge
scornfully
scornd
schoolmaster
scene
scatterd
scars
scarfs
scape
scandald
scaling
scabs
saying
sawt
sauced
sanctuary
sail
safer
safely
safeguard
safe
saddle
sack
ruth
rumourd
ruled
rubbing
rub
root
roof
romansas
rogues
rod
roaring
roard
road
rivers
risen
rise
rigorous
rightly
righthand
ridiculous
ridges
richest
rewards
reward
revolts
revolt
returned
retires
retired
restraind
restrain
restitution
resting
respected
respect
resisted
rescue
requital
requickend
requests
requested
repulse
reproof
repose
replied
repined
repetition
repent
repeal
renown
rend
remove
remembrances
rememberd
relish
relieved
relieve
rejourn
rejoice
reins
reinforcement
regard
refused
refuse
refusal
reel
reeking
reechy
red
rectorship
recompense
recommend
reckless
receipt
rebelld
reasons
real
read
rates
rash
rascals
rascal
rare
rapture
ransoming
rankscented
ranges
ran
rakes
quoth
quintus
quickly
quick
question
quench
quarterd
quarry
quaked
pursue
purposed
purchasing
pupil
punish
puff
publius
prudent
provide
proverbs
provand
prosperous
proper
proof
pronounce
prompt
promisebreaker
progeny
profess
profane
process
proceeds
proceedings
prized
prize
privilege
prisoner
princely
pricking
prevailing
pretences
presume
press
preservative
presently
prescription
prepared
preparation
preoccupied
prefer
precious
prayer
prattling
prating
prank
practise
pow
pounds
pound
pother
potency
potch
pot
posture
possessed
ports
portance
porch
poorest
poll
poisonous
poisond
points
pocket
pluto
plucked
pluckd
ploughd
plebeii
pleasures
pleasure
pleasing
pleaders
play
plaster
planted
planet
plainly
plain
plagues
plague
placeth
places
placed
pitying
pins
pinnd
pinched
piles
pikes
pierce
piece
picturelike
pick
physician
physical
physic
phoebus
petitiond
petition
pertinent
persuaded
perpetual
permit
performd
perform
perfecter
percussion
perceives
peradventure
peoplewhich
penelope
pence
peck
pays
pay
pawn
patient
patchd
passing
passes
particulars
particularise
participate
pardons
parcels
parasites
panting
paltering
palethey
pale
palates
palate
pair
painting
painted
page
pacelook
pace
owns
overtaen
overmeasure
outweighs
outdone
outdares
ouncehe
ought
otis
otherwise
ostentation
orange
opposite
oppose
open
onward
onewhen
omit
oft
officious
official
officers
offend
offence
ofboils
oerwhelmd
oerwhelm
oerpressd
oerpeer
oerleap
oerbear
odds
occasion
observe
object
obedience
oaks
oaken
nurse
nuptial
numbers
numas
nowwill
nourishd
nourish
nought
notsdeath
notis
notice
nothings
nose
north
noon
nod
noblerwhither
nobler
nobleness
nine
nicelygawded
newly
nervy
nerves
neptune
neighbours
needs
needless
necks
necessities
necessary
near
naytis
navel
naught
natural
napless
napes
mutually
mutiny
mutinies
mutiners
mutable
musty
murrain
muniments
mummers
multitudinous
multiplying
mules
muck
mow
movers
moved
mouse
mountainous
motive
moths
mothers
morsel
morning
moods
monsters
monsterd
monster
mockery
mockers
miss
misguide
miscarries
minute
minnows
minister
mingling
mingle
minds
minded
millsbring
miles
midst
midnight
microcosm
methink
merry
merely
mercy
mend
memory
melted
meeting
meed
meat
measure
measles
meaner
matrons
match
maskd
mars
marriages
marrd
markd
marcians
mar
map
manyheaded
mantled
manifests
manhood
mangles
manenterd
manchild
manacles
mammocked
malkin
malignantly
malign
maliciously
malicious
making
major
main
maild
maids
magistrate
madst
lycurgusesif
lurchd
lowest
loving
lovelier
lost
loss
lords
looked
locks
lockram
lived
litterdnot
list
lips
lions
lion
link
limitation
limbs
limb
liking
likely
lieutenant
lick
liberty
letters
lessond
lenity
length
lend
legs
leg
lectures
leash
learnd
learn
leanness
lean
leadst
leader
laughd
laugh
lately
larum
large
lance
laid
ladiesand
ladders
laboured
knows
knowing
knees
kitchen
kisses
kings
kinglycrowned
king
kindest
kinder
killing
kill
kickd
kept
kam
justice
juno
junius
jump
judge
journey
jot
jewel
jest
ithaca
itcoriolanus
itch
issued
irons
inveterate
invested
inventory
interrupted
interior
interims
intent
intends
intend
integrity
insurrections
insult
instruction
instruct
instantly
insinuating
ins
inquire
innovator
inkling
injury
inherited
informd
infirmity
inferior
infection
infantlike
induced
indifferently
increase
incorporate
inclined
incline
inclination
inclinable
imperfect
ild
ignoranceit
ignorance
idly
ice
hyperbolical
hydra
husewife
husbands
hurts
hungry
humorous
humanely
howbeit
housekeepers
hot
hostilius
hostages
hospitable
horses
horsedrench
horsed
horrors
horns
horn
hopeless
hoo
holp
holloa
hob
hitherward
highly
hie
hews
hereto
hereditary
hereafter
herdsmen
helms
hecuba
hectors
heavy
heavens
heat
heapt
heaps
health
heal
heads
hazard
havoc
haver
hatching
hasty
haste
hast
harvestman
harp
hares
hare
hardly
hard
handkerchers
hair
hailstone
hadst
gusts
gulf
guider
guided
guarded
grown
grow
grove
grim
grieves
greyhound
grecian
greatst
greatness
greatest
graver
gratitude
gratify
grateful
grant
grafted
graceful
graced
gost
goodly
gold
goddess
godden
goat
goaded
gnaw
gloves
glean
gladly
gird
gilt
gilded
gifts
giddy
gibingly
giber
gentlewoman
gentler
gentlemen
gentleman
generosity
generals
gaze
gate
gash
garners
gap
gangrened
gan
galld
galen
fusty
fury
fundamental
full
frown
fronts
frighted
friendsthis
friendly
friendliness
freelier
freedoms
freedom
frank
fragments
foxes
foundation
fossetseller
forty
fortunes
fortnight
form
forgot
forges
forenoon
foremost
foreadvised
fore
forced
foolish
foolhardiness
foolery
food
following
followers
followed
foild
fog
foes
fob
flung
flower
flouted
flour
flight
flesh
fled
flayd
flattered
flamens
flag
fixed
fix
fitness
fitly
fires
fins
finger
fine
finds
filling
filld
fill
filea
file
fighting
fifth
fielded
fidiused
feverous
fetch
fester
feed
feebly
feebling
fed
feats
feast
fearing
fearful
fawning
favours
favouring
fatigate
fane
fancy
famously
falsely
falsefaced
falling
fairness
fails
factions
extol
expedition
exile
exercise
execution
excuse
excellent
example
examine
evil
event
estate
established
establishd
error
envying
envy
envied
entreaties
entreat
entombed
entire
enters
entered
enterd
enter
entangled
enrolld
enraged
enormity
enigma
enforce
enemys
endures
endure
endue
encountering
empiricutic
embracements
embarquements
eleven
elements
elected
eject
effected
eer
edicts
edge
easily
ease
earthly
earth
earnestness
earnest
earned
earn
ear
eagles
dying
duties
during
dumb
dull
dry
drove
droppd
driven
drink
dries
drawn
draw
drachm
downright
doubtthat
doubtless
doubly
doublets
doubled
double
dote
door
doom
donebefore
donation
doit
doings
dog
divines
divine
divide
diversely
ditch
distribution
distinctly
dissolved
dissentious
dispropertied
dispositions
displeasure
disobedience
dislikes
dishonourd
dishonour
disgrace
disdains
discretion
discreet
discovery
discontented
disclaim
disciplined
discharged
disbenchd
disadvantage
directly
dined
din
dignifies
dieted
dies
died
dictator
dick
dews
devotion
devil
deucalion
determined
destiny
despite
despise
desires
desirers
deserving
descended
depopulate
depends
depending
denied
demerits
demands
delivered
deliverd
deliberate
delay
degrees
defend
defective
deep
deedachieving
deed
decrees
decreed
decay
debile
debase
deaths
deal
deadly
daughters
darts
darken
dark
dames
damask
dam
cypress
customary
cushion
curses
curs
current
curbs
curb
cupboarding
cup
crutch
crows
crown
crooked
cries
cried
crept
cranks
crammed
craft
cracking
crackd
crack
crabtrees
cowards
coward
covets
covetous
coverture
courts
courtesy
courteous
court
countrymen
counterpoised
counterfeitly
counterfeit
countenance
counsellor
counsel
couldst
cormorant
conveying
converses
conversation
convented
convenient
controlt
continued
contemning
contemn
contagion
consulships
consulship
constant
conspectuities
considering
conscience
conjectural
confusions
confusion
confound
confirmed
confirmd
confine
conduits
conducted
conduct
condemning
condemned
conclude
concealment
compound
composition
complexions
complaint
complainings
complain
competency
compass
commons
commoners
commonalty
commit
commission
commend
commandment
commanded
command
comfortable
comfort
comest
comeliness
coloured
colour
colic
cold
coin
coffind
cockle
cobbled
coal
cloven
clouds
cloth
clip
clappd
clamour
clambering
claim
cities
circumvention
cicatrices
chin
childrens
childish
child
chiefest
chief
chests
cheeks
cheap
chats
chase
charters
charter
charms
charitable
charges
charged
character
channel
chamberpot
chain
certainties
certainly
ceremony
centuries
censure
cease
caution
caused
caught
catos
catching
catched
catch
cat
carelessness
cared
carbuncle
caparison
capacity
cap
cant
camest
camels
cambric
calved
callt
calls
calling
called
calamity
buy
buttock
butterfly
butcher
busied
burning
burnd
burdens
bulks
buildings
budger
budge
brunt
bruising
brown
browbound
brothers
brother
brook
broke
broil
bristled
brings
bringing
brief
bribe
brethren
breathe
breasts
bread
brand
bran
braggd
brag
bows
bout
bountiful
botchers
borne
born
book
bonneted
bones
bolder
bodys
bodily
bodies
boasting
blow
blockhead
blind
blest
bless
blended
bleedst
bleeding
bled
bleared
blaze
blast
blame
black
big
bewitchment
bestrid
beside
bereaves
bent
benefit
beneath
bended
bencher
bemock
beloved
belonging
beholding
behavior
begging
begged
beggars
began
beforetime
bedward
bedfellow
bed
becomet
beasts
beastly
bears
bath
bate
basest
barren
barrd
barm
barking
barbariansas
banners
balms
bale
baes
backs
baby
awry
awe
awake
augurer
audit
audience
auburn
attends
attended
attaind
attach
asunder
assured
asss
assist
assemble
ass
asking
asker
ascent
articulate
article
arriving
armys
armies
arithmetic
arguing
arei
approaches
apprehension
apprehended
apply
applied
applause
appeard
apes
apart
antique
anhungry
anger
ancus
ancient
ancestor
ambitious
amazonian
always
altitude
also
alms
alls
allaying
alias
alarum
alack
aims
aim
aidless
agued
agrippa
agreeing
agreed
ages
agents
age
againbut
afternoon
aftermeeting
afric
afoot
affrights
afflicts
affection
affect
aedile
adversely
advantage
admit
admire
adieu
acting
achieved
aches
accusers
accusations
accusation
accounted
according
acclamations
acceptance
abused
abundantly
above
able
abilities
abhorring
abhorrd
abhor
abed
